,x,y,label,waving,,,,,,,,,,,,
226,0.51671505,0.51671505,9,0,,,,,,,,,,,,
227,0.30027875,0.30027875,10,0,,,,,,,,,,,,
228,0.28444844,0.28444844,5,0,,,,,,,,,,,,
229,0.29551953,0.29551953,6,0,,,,,,,,,,,,
230,0.4022784,0.4022784,7,0,,,,,,,,,,,,
231,0.3919822,0.3919822,8,0,,,,,,,,,,,,
232,0.51671505,0.51671505,9,0,,,,,,,,,,,,
233,0.30027875,0.30027875,10,0,,,,,,,,,,,,
234,0.28444844,0.28444844,5,0,,,,,,,,,,,,
235,0.29551953,0.29551953,6,0,,,,,,,,,,,,
236,0.4022784,0.4022784,7,0,,,,,,,,,,,,
237,0.3919822,0.3919822,8,0,,,,,,,,,,,,
238,0.51671505,0.51671505,9,0,,,,,,,,,,,,
239,0.30027875,0.30027875,10,0,,,,,,,,,,,,
240,0.28444844,0.28444844,5,0,,,,,,,,,,,,
241,0.29551953,0.29551953,6,0,,,,,,,,,,,,
242,0.4022784,0.4022784,7,0,,,,,,,,,,,,
243,0.3919822,0.3919822,8,0,,,,,,,,,,,,
244,0.51671505,0.51671505,9,0,,,,,,,,,,,,
245,0.30027875,0.30027875,10,0,,,,,,,,,,,,
246,0.28444844,0.28444844,5,1,,,,,,,,,,,,
247,0.29551953,0.29551953,6,1,,,,,,,,,,,,
248,0.4022784,0.4022784,7,1,,,,,,,,,,,,
249,0.3919822,0.3919822,8,1,,,,,,,,,,,,
250,0.51671505,0.51671505,9,1,,,,,,,,,,,,
251,0.30027875,0.30027875,10,1,,,,,,,,,,,,
252,0.28444844,0.28444844,5,1,,,,,,,,,,,,
253,0.29551953,0.29551953,6,1,,,,,,,,,,,,
254,0.4022784,0.4022784,7,1,,,,,,,,,,,,
255,0.3919822,0.3919822,8,1,,,,,,,,,,,,
256,0.51671505,0.51671505,9,1,,,,,,,,,,,,
257,0.30027875,0.30027875,10,1,,,,,,,,,,,,
258,0.28444844,0.28444844,5,1,,,,,,,,,,,,
259,0.29551953,0.29551953,6,1,,,,,,,,,,,,
260,0.4022784,0.4022784,7,1,,,,,,,,,,,,
261,0.3919822,0.3919822,8,1,,,,,,,,,,,,
262,0.51671505,0.51671505,9,1,,,,,,,,,,,,
263,0.30027875,0.30027875,10,1,,,,,,,,,,,,
264,0.28444844,0.28444844,5,1,,,,,,,,,,,,
265,0.29551953,0.29551953,6,1,,,,,,,,,,,,
266,0.4022784,0.4022784,7,1,,,,,,,,,,,,
267,0.3919822,0.3919822,8,1,,,,,,,,,,,,
268,0.51671505,0.51671505,9,1,,,,,,,,,,,,
269,0.30027875,0.30027875,10,1,,,,,,,,,,,,
270,0.28444844,0.28444844,5,1,,,,,,,,,,,,
271,0.29551953,0.29551953,6,1,,,,,,,,,,,,
272,0.4022784,0.4022784,7,1,,,,,,,,,,,,
273,0.3919822,0.3919822,8,1,,,,,,,,,,,,
274,0.51671505,0.51671505,9,1,,,,,,,,,,,,
275,0.30027875,0.30027875,10,1,,,,,,,,,,,,
276,0.28444844,0.28444844,5,1,,,,,,,,,,,,
277,0.29551953,0.29551953,6,1,,,,,,,,,,,,
278,0.4022784,0.4022784,7,1,,,,,,,,,,,,
279,0.3919822,0.3919822,8,1,,,,,,,,,,,,
280,0.51671505,0.51671505,9,1,,,,,,,,,,,,
281,0.30027875,0.30027875,10,1,,,,,,,,,,,,
282,0.28444844,0.28444844,5,1,,,,,,,,,,,,
283,0.29551953,0.29551953,6,1,,,,,,,,,,,,
284,0.4022784,0.4022784,7,1,,,,,,,,,,,,
285,0.3919822,0.3919822,8,1,,,,,,,,,,,,
286,0.51671505,0.51671505,9,1,,,,,,,,,,,,
287,0.30027875,0.30027875,10,1,,,,,,,,,,,,
288,0.28444844,0.28444844,5,1,,,,,,,,,,,,
289,0.29551953,0.29551953,6,1,,,,,,,,,,,,
290,0.4022784,0.4022784,7,1,,,,,,,,,,,,
291,0.3919822,0.3919822,8,1,,,,,,,,,,,,
292,0.51671505,0.51671505,9,1,,,,,,,,,,,,
293,0.30027875,0.30027875,10,1,,,,,,,,,,,,
294,0.28444844,0.28444844,5,1,,,,,,,,,,,,
295,0.29551953,0.29551953,6,1,,,,,,,,,,,,
296,0.4022784,0.4022784,7,1,,,,,,,,,,,,
297,0.3919822,0.3919822,8,1,,,,,,,,,,,,
298,0.51671505,0.51671505,9,1,,,,,,,,,,,,
299,0.30027875,0.30027875,10,1,,,,,,,,,,,,
300,0.28444844,0.28444844,5,1,,,,,,,,,,,,
301,0.29551953,0.29551953,6,1,,,,,,,,,,,,
302,0.4022784,0.4022784,7,1,,,,,,,,,,,,
303,0.3919822,0.3919822,8,1,,,,,,,,,,,,
304,0.51671505,0.51671505,9,1,,,,,,,,,,,,
305,0.30027875,0.30027875,10,1,,,,,,,,,,,,
306,0.28444844,0.28444844,5,1,,,,,,,,,,,,
307,0.29551953,0.29551953,6,1,,,,,,,,,,,,
308,0.4022784,0.4022784,7,1,,,,,,,,,,,,
309,0.3919822,0.3919822,8,1,,,,,,,,,,,,
310,0.51671505,0.51671505,9,1,,,,,,,,,,,,
311,0.30027875,0.30027875,10,1,,,,,,,,,,,,
312,0.28444844,0.28444844,5,1,,,,,,,,,,,,
313,0.29551953,0.29551953,6,1,,,,,,,,,,,,
314,0.4022784,0.4022784,7,1,,,,,,,,,,,,
315,0.3919822,0.3919822,8,1,,,,,,,,,,,,
316,0.51671505,0.51671505,9,1,,,,,,,,,,,,
317,0.30027875,0.30027875,10,1,,,,,,,,,,,,
318,0.28444844,0.28444844,5,1,,,,,,,,,,,,
319,0.29551953,0.29551953,6,1,,,,,,,,,,,,
320,0.4022784,0.4022784,7,1,,,,,,,,,,,,
321,0.3919822,0.3919822,8,1,,,,,,,,,,,,
322,0.51671505,0.51671505,9,1,,,,,,,,,,,,
323,0.30027875,0.30027875,10,1,,,,,,,,,,,,
324,0.28444844,0.28444844,5,1,,,,,,,,,,,,
325,0.29551953,0.29551953,6,1,,,,,,,,,,,,
326,0.4022784,0.4022784,7,1,,,,,,,,,,,,
327,0.3919822,0.3919822,8,1,,,,,,,,,,,,
328,0.51671505,0.51671505,9,1,,,,,,,,,,,,
329,0.30027875,0.30027875,10,1,,,,,,,,,,,,
330,0.28444844,0.28444844,5,1,,,,,,,,,,,,
331,0.29551953,0.29551953,6,1,,,,,,,,,,,,
332,0.4022784,0.4022784,7,1,,,,,,,,,,,,
333,0.3919822,0.3919822,8,1,,,,,,,,,,,,
334,0.51671505,0.51671505,9,1,,,,,,,,,,,,
335,0.30027875,0.30027875,10,1,,,,,,,,,,,,
336,0.28444844,0.28444844,5,1,,,,,,,,,,,,
337,0.29551953,0.29551953,6,1,,,,,,,,,,,,
338,0.4022784,0.4022784,7,1,,,,,,,,,,,,
339,0.3919822,0.3919822,8,1,,,,,,,,,,,,
340,0.51671505,0.51671505,9,1,,,,,,,,,,,,
341,0.30027875,0.30027875,10,1,,,,,,,,,,,,
